Company,Symbol proposed,Lead Managers,Shares (Millions),Price Low,Price High,Est. $ Volume,Expected to Trade,SCOOP Rating,Rating Change
Mobia Medical,MOBI,BofA Securities/J.P. Morgan/Goldman Sachs/BTIG/Wolfe Nomura Alliance,10.0,14.00,16.00,$ 150.0 mil,5/8/2026 Friday,S/O,S/O
Odyssey Therapeutics,ODTX,J.P. Morgan/TD Cowen/Cantor,15.5,18.00,18.00,$ 279.0 mil,5/8/2026 Priced,S/O,S/O
Starlink AI Acquisition,OTAI.U,A.G.P.,10.0,10.00,10.00,$ 100.0 mil,5/8/2026 Priced,S/O,S/O
Fervo Energy Co.,FRVO,J.P.Morgan/BofA Securities/RBC Capital Markets/Barclays/Baird/BBVA/Guggenheim Securities/MUFG Securities America/SG Americas Securities/William Blair/Piper Sandler/Wolfe Nomura Alliance,55.6,21.00,24.00,$ 1250.0 mil,5/13/2026 Wednesday,S/O,S/O
GMR Solutions,GMRS,J.P.Morgan/KKR/BofA Securities/Barclays/Goldman Sachs/Citigroup/Evercore ISI/Morgan Stanley/UBS Investment Bank,31.9,22.00,25.00,$ 750.0 mil,5/13/2026 Wednesday,S/O,S/O
Blackstone Digital Infrastructure Trust,BXDC,Goldman Sachs/Citigroup/Morgan Stanley/Barclays/BofA Securities/Deutsche Bank Securities/J.P. Morgan/RBC Capital Markets/ Wells Fargo Securities/BNP Paribas/SMBC Nikko/Societe Generale/BBVA/Credit Agricole CIB/MUFG Securities America/Santander/TD Securities,87.5,20.00,20.00,$ 1750.0 mil,5/14/2026 Thursday,S/O,S/O
Cerebras Systems Inc. (2026),CBRS,Morgan Stanley/Citigroup/Barclays/UBS Investment Bank/Mizuho Securities/TD Securities,28.0,115.00,125.00,$ 3360.0 mil,5/14/2026 Thursday,S/O,S/O
"EagleRock Land, LLC",EROK,Goldman Sachs/Barclays/J.P.Morgan/Piper Sandler/Raymond James/KeyBanc Capital Markets/Pickering Energy Partners/Stephens Inc./Texas Capital Securities,17.3,17.00,20.00,$ 320.1 mil,5/14/2026 Thursday,S/O,S/O
Encore Medical Inc.,EMI,The Oak Ridge Financial Services Group,3.0,5.00,5.00,$ 15.0 mil,5/15/2026 Week of,S/O,S/O
Optimi Health (Uplisting),OPTH,Joseph Gunnar & Co.,2.5,6.00,8.00,$ 17.5 mil,5/15/2026 Week of,S/O,S/O
BW Industrial Holdings,BWGC,Eddid Securities USA,2.6,6.00,7.00,$ 17.1 mil,5/18/2026 Week of,S/O,S/O
Riku Dining Group,RIKU,Eddid Securities USA,5.0,4.00,6.00,$ 25.0 mil,5/18/2026 Week of,S/O,S/O
Lannister Mining Corp.,DRIL,Joseph Gunnar & Co.,0.0,0.00,0.00,$ 6.0 mil,5/21/2026 Thursday,S/O,S/O
