Company,Symbol proposed,Lead Managers,Shares (Millions),Price Low,Price High,Est. $ Volume,Expected to Trade,SCOOP Rating,Rating Change
Gores Holdings XI,GHXIU,Santander,31.2,10.00,10.00,$ 312.0 mil,6/23/2026 Priced,S/O,S/O
Alpex Acquisition Corp.,ALPXU,D. Boral Capital,10.0,10.00,10.00,$ 100.0 mil,6/25/2026 Thursday,S/O,S/O
Doncasters Group – DPC Holdings Limited,DPC,Jefferies/Morgan Stanley/Barclays/Moelis & Co./RBC Capital Markets/Rothschild,23.3,28.00,32.00,$ 700.0 mil,6/25/2026 Thursday,S/O,S/O
Coolbit Technologies Ltd.,CBAI,Eddid Securities USA,5.0,4.00,5.00,$ 22.5 mil,6/26/2026 Week of,S/O,S/O
MetaOptics (Uplisting),MOT,Roth Capital Partners/The Benchmark Company,3.0,5.00,7.00,$ 18.0 mil,6/26/2026 Week of,S/O,S/O
Bending Spoons S.p.A.,BSP,Goldman Sachs/J.P.Morgan/Allen & Company/Wells Fargo Securities/BofA Securities/Jefferies/Evercore ISI/BNP Paribas/Mizuho Securities/Societe Generale/Credit Agricole CIB/Intesa Sanpaolo/UniCredit Capital Markets/Banca Akros - Gruppo Banco BPM,58.0,26.00,28.00,$ 1565.2 mil,6/29/2026 Week of,S/O,S/O
BW Industrial Holdings,BWGC,Eddid Securities USA,2.6,6.00,7.00,$ 17.1 mil,6/29/2026 Week of,S/O,S/O
Riku Dining Group,RIKU,Eddid Securities USA,5.0,4.00,6.00,$ 25.0 mil,6/29/2026 Week of,S/O,S/O
CopperTech Metals,CUX,Citigroup/Cantor/BMO Capital Markets/RBC Capital Markets/TD Securities/Stifel/William Blair,23.5,16.00,18.00,$ 400.0 mil,7/1/2026 Wednesday,S/O,S/O
ITG,ITG,Morgan Stanley/Citigroup/UBS Investment Bank/Stifel/BofA Securities/Baird/Santander/KeyBanc Capital Markets/Truist Securities,19.5,19.00,22.00,$ 400.0 mil,7/1/2026 Wednesday,S/O,S/O
Lime (Neutron Holdings),LIME,Goldman Sachs/J.P. Morgan/Jefferies/Evercore ISI/Citizens JMP/KeyBanc Capital Markets,7.0,24.00,26.00,$ 174.0 mil,7/1/2026 Wednesday,S/O,S/O
Sinda Ltd.,SIND,Morgan Stanley/Scotiabank/BMO Capital Markets/Canaccord Genuity/Citigroup/RBC Capital Markets,17.8,11.25,13.25,$ 217.4 mil,7/1/2026 Wednesday,S/O,S/O
