Company,Symbol proposed,Lead Managers,Shares (Millions),Price Low,Price High,Est. $ Volume,Expected to Trade,SCOOP Rating,Rating Change
BurTech Acquisition Corp. II,BRKHU,D. Boral Capital (ex-EF Hutton),8.0,10.00,10.00,$ 80.0 mil,5/22/2026 Priced,S/O,S/O
FortuneX Acquisition Corp.,FXACU,Polaris (A Division of Kingswood),7.5,10.00,10.00,$ 75.0 mil,5/22/2026 Priced,S/O,S/O
Innovative Digital Investors Acquisition (Ex-FG Mergers III),IDIAU,ThinkEquity,20.0,10.00,10.00,$ 200.0 mil,5/22/2026 Friday,S/O,S/O
Peace Acquisition Corp.,PECEU,EarlyBirdCapital,6.0,10.00,10.00,$ 60.0 mil,5/22/2026 Priced,S/O,S/O
BW Industrial Holdings,BWGC,Eddid Securities USA,2.6,6.00,7.00,$ 17.1 mil,5/26/2026 Week of,S/O,S/O
Encore Medical Inc.,EMI,The Oak Ridge Financial Services Group,3.0,5.00,5.00,$ 15.0 mil,5/26/2026 Week of,S/O,S/O
Lannister Mining Corp.,DRIL,Joseph Gunnar & Co./Research Capital,3.0,5.00,5.00,$ 15.0 mil,5/26/2026 Week of,S/O,S/O
Riku Dining Group,RIKU,Eddid Securities USA,5.0,4.00,6.00,$ 25.0 mil,5/26/2026 Week of,S/O,S/O
