Company,Symbol proposed,Lead Managers,Shares (Millions),Price Low,Price High,Est. $ Volume,Expected to Trade,SCOOP Rating,Rating Change
Ares Acquisition Corp. III,AAC.U,J.P.Morgan/Jefferies,34.5,10.00,10.00,$ 345.0 mil,6/30/2026 Priced,S/O,S/O
Bending Spoons S.p.A.,BSP,Goldman Sachs/J.P.Morgan/Allen & Company/Wells Fargo Securities/BofA Securities/Jefferies/Evercore ISI/BNP Paribas/Mizuho Securities/Societe Generale/Credit Agricole CIB/Intesa Sanpaolo/UniCredit Capital Markets/Banca Akros - Gruppo Banco BPM,58.0,29.00,29.00,$ 1681.1 mil,7/1/2026 Priced,S/O,S/O
CopperTech Metals (Postponed),CUX,Citigroup/Cantor/BMO Capital Markets/RBC Capital Markets/TD Securities/Stifel/William Blair,23.5,16.00,18.00,$ 400.0 mil,7/1/2026 Postponed,S/O,S/O
ITG,ITG,Morgan Stanley/Citigroup/UBS Investment Bank/Stifel/BofA Securities/Baird/Santander/KeyBanc Capital Markets/Truist Securities,19.5,16.00,16.00,$ 312.2 mil,7/1/2026 Priced,S/O,S/O
Lime (Neutron Holdings),LIME,Goldman Sachs/J.P. Morgan/Jefferies/Evercore ISI/Citizens JMP/KeyBanc Capital Markets,7.0,25.00,25.00,$ 174.0 mil,7/1/2026 Priced,S/O,S/O
Osprey Acquisition Corp. III,OSPRU,Cantor,26.1,10.00,10.00,$ 261.0 mil,7/1/2026 Priced,S/O,S/O
Coolbit Technologies Ltd.,CBAI,Eddid Securities USA,5.0,4.00,5.00,$ 22.5 mil,7/6/2026 Week of,S/O,S/O
MetaOptics (Uplisting),MOT,Roth Capital Partners/The Benchmark Company,3.0,5.00,7.00,$ 18.0 mil,7/6/2026 Week of,S/O,S/O
Riku Dining Group,RIKU,Eddid Securities USA,5.0,4.00,6.00,$ 25.0 mil,7/6/2026 Week of,S/O,S/O
Tarsier Pharma,TARX,Konik Capital Partners (A Division of T.R. Winston),5.0,8.00,10.00,$ 45.0 mil,7/9/2026 Thursday,S/O,S/O
