Company,Symbol proposed,Lead Managers,Shares (Millions),Price Low,Price High,Est. $ Volume,Expected to Trade,SCOOP Rating,Rating Change
AI Infrastructure Acquisition Corp.,AIIAU,Maxim Group LLC,12.0,10.00,10.00,$ 120.0 mil,10/3/2025 Priced,S/O,S/O
CCH Holdings Ltd.,CCHH,Cathay Securities,1.3,4.00,4.00,$ 5.0 mil,10/3/2025 Priced,S/O,S/O
Range Capital Acquisition Corp. II,RNGTU,BTIG LLC,20.0,10.00,10.00,$ 200.0 mil,10/3/2025 Priced,S/O,S/O
GigCapital8 Acquisition Co.,GIWWU,D. Boral Capital (ex-EF Hutton),22.0,10.00,10.00,$ 220.0 mil,10/6/2025 Monday,S/O,S/O
Alliance Laundry Holdings Inc.,ALH,BofA Securities/J.P.Morgan/Morgan Stanley/Baird/BDT & MSD/BMO Capital Markets/Citigroup/Goldman Sachs/UBS Investment Bank,34.2,19.00,22.00,$ 700.1 mil,10/9/2025 Thursday,S/O,S/O
Phoenix Education Partners,PXED,Morgan Stanley/Goldman Sachs/BMO Capital Markets/Jefferies/Apollo Global/Truist Securities,4.3,31.00,33.00,$ 136.0 mil,10/9/2025 Thursday,S/O,S/O
BM Acquisition,BMAQU,D. Boral Capital (ex-EF Hutton),6.0,10.00,10.00,$ 60.0 mil,10/10/2025 Week of,S/O,S/O
ELC Group Holdings Ltd.,ELCG,D. Boral Capital (ex-EF Hutton),1.8,4.00,6.00,$ 9.0 mil,10/10/2025 Week of,S/O,S/O
OBOOK Holdings (Direct Listing),OWLS,D. Boral Capital (ex-EF Hutton) (Financial Adviser),0.0,0.00,0.00,$ 0.0 mil,10/10/2025 Week of,S/O,S/O
Park Dental Partners,PARK,Northland Capital Markets/Craig-Hallum,1.5,12.00,14.00,$ 20.0 mil,10/10/2025 Week of,S/O,S/O
Smart Logistics Global Ltd.,SLGB,Craft Capital Management/Revere Securities,1.0,5.00,6.00,$ 5.5 mil,10/10/2025 Week of,S/O,S/O
Thunderstone Acquisition Corp.,TDSTU,D. Boral Capital (ex-EF Hutton)/ARC Group Securities,5.0,10.00,10.00,$ 50.0 mil,10/10/2025 Week of,S/O,S/O
Agencia Comercial Spirits,AGCC,D. Boral Capital (ex-EF Hutton)/Revere Securities,1.8,4.00,6.00,$ 9.0 mil,10/13/2025 Week of,S/O,S/O
Antharas Inc.,AAS,D. Boral Capital (ex-EF Hutton),1.3,4.00,5.00,$ 5.6 mil,10/13/2025 Week of,S/O,S/O
Bgin Blockchain Ltd.,BGIN,D. Boral Capital (ex-EF Hutton),6.0,5.00,7.00,$ 36.0 mil,10/13/2025 Week of,S/O,S/O
"HW Electro Co., Ltd. (NASDAQ-New Filing)",HWEP,American Trust Investment Services/WestPark Capital,4.2,4.00,4.00,$ 16.6 mil,10/13/2025 Week of,S/O,S/O
Libera Gaming Operations,LBRJ,D. Boral Capital (ex-EF Hutton)/Craft Capital Management/ Boustead Securities,1.3,4.00,4.00,$ 5.0 mil,10/13/2025 Week of,S/O,S/O
Turn Therapeutics (Direct Listing),TTRX,Clear Street,17.9,0.00,0.00,$ 0.0 mil,10/13/2025 Week of,S/O,S/O
Harvard Avenue Acquisition Corp.,HAVAU,D. Boral Capital (ex-EF Hutton),18.0,10.00,10.00,$ 180.0 mil,10/17/2025 Friday,S/O,S/O
