Company,Symbol proposed,Lead Managers,Shares (Millions),Price Low,Price High,Est. $ Volume,Expected to Trade,SCOOP Rating,Rating Change
Research Alliance Corp. IV (Stock-Only),RACD,Leerink Partners,7.5,10.00,10.00,$ 75.0 mil,7/13/2026 Priced,S/O,S/O
Ticketplus,TP,Bancroft Capital/Roth Capital/MDB Capital Group,1.8,13.00,15.00,$ 25.0 mil,7/13/2026 Week of,S/O,S/O
Tarsier Pharma,TARX,Konik Capital Partners (A Division of T.R. Winston),5.0,8.00,10.00,$ 45.0 mil,7/15/2026 Wednesday,S/O,S/O
"Csquare, Inc.",CSQR,Morgan Stanley/TD Securities/Wells Fargo Securities/BofA Securities/BMO Capital Markets/Scotiabank/Jefferies/J.P.Morgan/RBC Capital Markets/Societe Generale,50.0,23.00,27.00,$ 1250.0 mil,7/16/2026 Thursday,S/O,S/O
"Standard Nuclear, Inc.",STDN,BofA Securities/Goldman Sachs/Barclays/UBS Investment Bank/Evercore ISI/RBC Capital Markets/ William Blair/Stifel,18.3,18.00,21.00,$ 355.9 mil,7/16/2026 Thursday,S/O,S/O
MetaOptics (Uplisting),MOT,Roth Capital Partners/The Benchmark Company,3.0,5.00,7.00,$ 18.0 mil,7/20/2026 Week of,S/O,S/O
BW Industrial Holdings,BWGC,Eddid Securities USA,2.6,6.00,7.00,$ 17.1 mil,7/27/2026 Week of,S/O,S/O
Riku Dining Group,RIKU,Eddid Securities USA,5.0,4.00,6.00,$ 25.0 mil,7/27/2026 Week of,S/O,S/O
Web3Labs Global Inc.,MDAT,Eddid Securities USA,6.3,4.00,5.00,$ 28.1 mil,7/27/2026 Week of,S/O,S/O
