Company,Symbol proposed,Lead Managers,Shares (Millions),Price Low,Price High,Est. $ Volume,Expected to Trade,SCOOP Rating,Rating Change
Maywood Acquisition Corp. 2,MYXXU,D. Boral Capital,10.0,10.00,10.00,$ 100.0 mil,4/14/2026 Priced,S/O,S/O
QuasarEdge Acquisition Corp.,QREDU,Polaris Advisory Partners (A Division of Kingswood),10.0,10.00,10.00,$ 100.0 mil,4/15/2026 Wednesday,S/O,S/O
"Arxis, Inc.",ARXS,Goldman Sachs/Morgan Stanley/Jefferies/Citigroup/RBC Capital Markets/Baird/Guggenheim Securities/Wells Fargo Securities/William Blair/Rothschild/Wolfe Nomura Alliance,37.7,25.00,28.00,$ 1000.0 mil,4/16/2026 Thursday,S/O,S/O
Madison Air Solutions,MAIR,Goldman Sachs/Barclays/Jefferies/Wells Fargo Securities/BofA Securities/Citigroup/Baird/RBC Capital Markets/Guggenheim Securities/Santander/Wolfe | Nomura Alliance/CIBC Capital Markets,82.7,25.00,27.00,$ 2150.0 mil,4/16/2026 Thursday,S/O,S/O
Aevex Corp.,AVEX,Goldman Sachs/BofA Securities/Jefferies/J.P.Morgan/RBC Capital Markets/Baird/William Blair/Raymond James/Needham & Co.,16.0,18.00,21.00,$ 312.0 mil,4/17/2026 Friday,S/O,S/O
Alamar Biosciences,ALMR,J.P.Morgan/BofA Securities/TD Cowen/Leerink Partners/Stifel,9.4,15.00,17.00,$ 150.0 mil,4/17/2026 Friday,S/O,S/O
Kailera Therapeutics,KLRA,J.P. Morgan/Jefferies/Leerink Partners/TD Cowen/Evercore ISI/William Blair,33.3,14.00,16.00,$ 500.0 mil,4/17/2026 Friday,S/O,S/O
BW Industrial Holdings,BWGC,Eddid Securities USA,2.6,6.00,7.00,$ 17.1 mil,4/20/2026 Week of,S/O,S/O
Optimi Health Ltd. (Uplisting),OPTH,Joseph Gunnar & Co.,2.5,6.00,8.00,$ 17.5 mil,4/20/2026 Week of,S/O,S/O
Riku Dining Group,RIKU,Eddid Securities USA,5.0,4.00,6.00,$ 25.0 mil,4/20/2026 Week of,S/O,S/O
Encore Medical Inc.,EMI,The Oak Ridge Financial Services Group,3.0,5.00,5.00,$ 15.0 mil,4/22/2026 Wednesday,S/O,S/O
National Healthcare Properties,NHP,Wells Fargo Securities/Morgan Stanley/BMO Capital Markets/Goldman Sachs/RBC Capital Markets/Baird/Capital One Securities/Citizens Capital Markets/Fifth Third Securities/Huntington Capital Markets/KeyBanc Capital Markets,38.5,13.00,16.00,$ 558.3 mil,4/22/2026 Wednesday,S/O,S/O
Yesway (2026 Filing),YSWY,Morgan Stanley/J.P. Morgan/Goldman Sachs/Barclays/BMO Capital Markets/KeyBanc Capital Markets/Guggenheim Securities/Raymond James,14.0,20.00,23.00,$ 299.9 mil,4/22/2026 Wednesday,S/O,S/O
