Company,Symbol proposed,Lead Managers,Shares (Millions),Price Low,Price High,Est. $ Volume,Expected to Trade,SCOOP Rating,Rating Change
APEX Tech Acquisition,TRADU,Alliance Global Partners/A.G.P.,10.0,10.00,10.00,$ 100.0 mil,2/26/2026 Priced,S/O,S/O
Fortress Value Acquisition Corp. V (STOCK-Only),FVIV,Deutsche Bank Securities,25.0,10.00,10.00,$ 250.0 mil,2/26/2026 Priced,S/O,S/O
TRG Latin America Acquisition,TRGSU,Santander,20.0,10.00,10.00,$ 200.0 mil,2/26/2026 Priced,S/O,S/O
Brookline Capital Acquisition Corp. II,BCACU,"Brookline Capital Markets (A Division of Arcadia Securities, LLC)",10.0,10.00,10.00,$ 100.0 mil,2/27/2026 Friday,S/O,S/O
Generate Biomedicines,GENB,Goldman Sachs/Morgan Stanley/Piper Sandler/Guggenheim Securities/Cantor,25.0,15.00,17.00,$ 400.0 mil,2/27/2026 Friday,S/O,S/O
Iron Dome Acquisition I Corp.,IDACU,D. Boral Capital (ex-EF Hutton)/ARC Group Securities,20.0,10.00,10.00,$ 200.0 mil,2/27/2026 Friday,S/O,S/O
BW Industrial Holdings,BWGC,Eddid Securities USA,2.6,7.00,9.00,$ 21.0 mil,3/2/2026 Week of,S/O,S/O
"Hartford Creative Group, Inc. (Uplisting)",HFUS,WestPark Capital,1.5,4.00,4.00,$ 6.0 mil,3/2/2026 Week of,S/O,S/O
Riku Dining Group,RIKU,Eddid Securities USA,2.3,4.00,6.00,$ 11.3 mil,3/2/2026 Week of,S/O,S/O
FreeCast (Direct Listing),FCST,Maxim Group (Financial Advisor),19.8,0.00,0.00,$ 0.0 mil,3/3/2026 Tuesday,S/O,S/O
"MiniMed Group, Inc.",MMED,Goldman Sachs/BofA Securities/Citigroup/Morgan Stanley/Barclays/Deutsche Bank Securities/Mizuho/Wells Fargo Securities/,28.0,25.00,28.00,$ 742.0 mil,3/5/2026 Thursday,S/O,S/O
DT House Ltd.,DTDT,American Trust Investment Services,5.0,5.00,5.50,$ 26.3 mil,3/9/2026 Week of,S/O,S/O
Hillhouse Frontier Holdings,HIFI,Cathay Securities,3.8,4.00,6.00,$ 18.8 mil,3/16/2026 Week of,S/O,S/O
"HW Electro Co., Ltd. (NASDAQ-New Filing)",HWEP,American Trust Investment Services/WestPark Capital,4.2,4.00,4.00,$ 16.6 mil,3/16/2026 Week of,S/O,S/O
"Seahawk Recycling Holdings, Inc.",SEAH,Cathay Securities,3.8,4.00,6.00,$ 18.8 mil,3/16/2026 Week of,S/O,S/O
PressLogic,PLAI,American Trust Investment Services,1.8,4.00,6.00,$ 9.0 mil,3/23/2026 Week of,S/O,S/O
