Company,Symbol proposed,Lead Managers,Shares (Millions),Price Low,Price High,Est. $ Volume,Expected to Trade,SCOOP Rating,Rating Change
Crown Reserve Acquisition Corp. I,CRACU,Polaris (A Division of Kingswood),15.0,10.00,10.00,$ 150.0 mil,11/7/2025 Priced,S/O,S/O
Tailwind 2.0 Acquisition Corp.,TDWDU,Cohen & Company Capital Markets,15.0,10.00,10.00,$ 150.0 mil,11/7/2025 Priced,S/O,S/O
AIGO Holding Ltd.,AIGO,Eddid Securities USA,2.0,4.00,6.00,$ 10.0 mil,11/10/2025 Week of,S/O,S/O
ALE Group Holding  Limited,ALEH,D. Boral Capital (ex-EF Hutton),1.5,4.00,6.00,$ 7.5 mil,11/10/2025 Week of,S/O,S/O
"Caring Brands, Inc. (Uplisting)",CABR,D. Boral Capital (ex-EF Hutton)/Dawson James,0.8,4.00,4.00,$ 3.0 mil,11/10/2025 Monday,S/O,S/O
Libera Gaming Operations,LBRJ,D. Boral Capital (ex-EF Hutton)/Sutter Securities,1.3,4.00,4.00,$ 5.0 mil,11/10/2025 Week of,S/O,S/O
WeShop Holdings (NASDAQ Direct Listing),WSHP,ThinkEquity (Financial Adviser - Direct Listing),4.0,0.00,0.00,$ 100.0 mil,11/10/2025 Monday,S/O,S/O
DT House Ltd.,DTDT,American Trust Investment Services,2.0,4.00,5.00,$ 9.0 mil,11/11/2025 Tuesday,S/O,S/O
Off the Hook YS,OTH,ThinkEquity,5.0,4.00,6.00,$ 25.0 mil,11/12/2025 Wednesday,S/O,S/O
Public Policy Holding Co. (NASDAQ Uplisting),PPHC,Oppenheimer & Co./Canaccord Genuity/Texas Capital Securities,4.1,14.64,14.64,$ 60.0 mil,11/12/2025 Wednesday,S/O,S/O
ELC Group Holdings Ltd.,ELCG,D. Boral Capital (ex-EF Hutton),1.9,4.00,6.00,$ 9.4 mil,11/13/2025 Week of,S/O,S/O
Phaos Technology (Cayman) Holdings Ltd.,POAS,Network 1 Financial Securities,3.6,4.00,5.00,$ 16.2 mil,11/13/2025 Thursday,S/O,S/O
Anew Health Ltd.,AVG,D. Boral Capital (ex-EF Hutton),1.8,4.00,6.00,$ 9.0 mil,11/17/2025 Week of,S/O,S/O
Monkey Tree Investment Ltd.,MKTR,Craft Capital Management/Revere Securities,1.6,4.00,5.00,$ 7.0 mil,11/17/2025 Week of,S/O,S/O
"HW Electro Co., Ltd. (NASDAQ-New Filing)",HWEP,American Trust Investment Services/WestPark Capital,4.2,4.00,4.00,$ 16.6 mil,11/18/2025 Tuesday,S/O,S/O
"Gloo Holdings, Inc.",GLOO,Roth Capital Partners,9.1,10.00,12.00,$ 100.1 mil,11/19/2025 Wednesday,S/O,S/O
Central Bancompany (Uplisting),CBC,"Morgan Stanley/Keefe, Bruyette & Woods (Stifel)/BofA Securities/Piper Sandler/Stephens Inc.",17.8,21.00,24.00,$ 399.4 mil,11/20/2025 Thursday,S/O,S/O
