Company,Symbol proposed,Lead Managers,Shares (Millions),Price Low,Price High,Est. $ Volume,Expected to Trade,SCOOP Rating,Rating Change
Aperture AC,APURU,IB Capital/EarlyBirdCapital/I-Bankers Securities,9.0,10.00,10.00,$ 90.0 mil,5/21/2026 Priced,S/O,S/O
Conexeu Sciences (Direct Listing),CNXU,H.C. Wainwright (Financial Advisor),9.5,13.50,13.50,$ 128.3 mil,5/21/2026 Priced,S/O,S/O
Oceanhawk Acquisition Corp.,OHACU,The Benchmark Company (StoneX),16.0,10.00,10.00,$ 160.0 mil,5/21/2026 Priced,S/O,S/O
BurTech Acquisition Corp. II,BRKHU,D. Boral Capital (ex-EF Hutton),8.0,10.00,10.00,$ 80.0 mil,5/22/2026 Friday,S/O,S/O
FortuneX Acquisition Corp.,FXACU,Polaris (A Division of Kingswood),7.5,10.00,10.00,$ 75.0 mil,5/22/2026 Friday,S/O,S/O
BW Industrial Holdings,BWGC,Eddid Securities USA,2.6,6.00,7.00,$ 17.1 mil,5/26/2026 Week of,S/O,S/O
Encore Medical Inc.,EMI,The Oak Ridge Financial Services Group,3.0,5.00,5.00,$ 15.0 mil,5/26/2026 Week of,S/O,S/O
Lannister Mining Corp.,DRIL,Joseph Gunnar & Co./Research Capital,2.0,5.00,5.00,$ 10.0 mil,5/26/2026 Week of,S/O,S/O
Riku Dining Group,RIKU,Eddid Securities USA,5.0,4.00,6.00,$ 25.0 mil,5/26/2026 Week of,S/O,S/O
