Company,Symbol proposed,Lead Managers,Shares (Millions),Price Low,Price High,Est. $ Volume,Expected to Trade,SCOOP Rating,Rating Change
Electra Therapeutics,ETRA,Jefferies/TD Cowen/Evercore ISI/Cantor,21.7,14.00,16.00,$ 325.1 mil,9/18/2026 Friday,S/O,S/O
Holtec Nuclear Corp.,HNUC,J.P.Morgan/Guggenheim Securities/Goldman Sachs/Citigroup/BofA Securities/Morgan Stanley/Cantor/BMO Capital Markets/Oppenheimer & Co.,50.0,15.00,18.00,$ 825.0 mil,9/18/2026 Friday,S/O,S/O
Orion180 Insurance Group,OIG,RBC Capital Markets/UBS Investment Bank/Raymond James/Goldman Sachs/Deutsche Bank Securities/Citizens Capital Markets/Texas Capital Securities,20.0,15.00,17.00,$ 320.0 mil,9/18/2026 Friday,S/O,S/O
Bamboo Insurance Services,BMB,J.P.Morgan/Morgan Stanley/Deutsche Bank Securities/Evercore ISI/Wells Fargo Securities,35.0,18.00,20.00,$ 665.0 mil,9/23/2026 Wednesday,S/O,S/O
BW Industrial Holdings,BWGC,Eddid Securities USA,2.6,6.00,7.00,$ 17.1 mil,9/24/2026 Week of,S/O,S/O
Web3Labs Global Inc.,MDAT,Eddid Securities USA,6.3,4.00,5.00,$ 28.1 mil,9/24/2026 Week of,S/O,S/O
