Company,Symbol proposed,Lead Managers,Shares (Millions),Price Low,Price High,Est. $ Volume,Expected to Trade,SCOOP Rating,Rating Change
"HW Electro Co., Ltd. (NASDAQ-New Filing)",HWEP,American Trust Investment Services/WestPark Capital,4.2,4.00,4.00,$ 16.6 mil,7/22/2025 Tuesday,S/O,S/O
"Carlsmed, Inc.",CARL,BofA Securities/Goldman Sachs/Piper Sandler,6.7,14.00,16.00,$ 100.5 mil,7/23/2025 Wednesday,S/O,S/O
"Cre8 Enterprise, Ltd.",CRE,American Trust Investment Services/Prime Number Capital,1.5,4.00,5.00,$ 6.5 mil,7/23/2025 Wednesday,S/O,S/O
NIQ Global Intelligence,NIQ,J.P.Morgan/BofA Securities/ UBS Investment Bank/Barclays/RBC Capital Markets/BMO Capital Markets/BNP Paribas/Citigroup/Deutsche Bank Securities/KKR/Wells Fargo Securities,50.0,20.00,24.00,$ 1100.0 mil,7/23/2025 Wednesday,S/O,S/O
Accelerant Holdings,ARX,Morgan Stanley/Goldman Sachs/BMO Capital Markets/RBC Capital Markets,29.0,18.00,20.00,$ 550.0 mil,7/24/2025 Thursday,S/O,S/O
CTW Cayman,CTW,Kingswood/TFI Securities & Futures Limited,3.0,5.00,6.00,$ 16.5 mil,7/24/2025 Week of,S/O,S/O
McGraw Hill,MH,Goldman Sachs/BMO Capital Markets/J.P.Morgan/Macquarie Capital/Morgan Stanley/Deutsche Bank Securities/UBS Investment Bank,24.4,19.00,22.00,$ 500.0 mil,7/24/2025 Thursday,S/O,S/O
General Enterprise Ventures (Uplisting – NYSE-AmEx),MFB,Univest Securities,1.3,11.00,13.00,$ 15.0 mil,7/25/2025 Friday,S/O,S/O
BUUU Group Limited,BUUU,Dominari Securities/Pacific Century Securities/Revere Securities,1.5,4.00,6.00,$ 7.5 mil,7/28/2025 Week of,S/O,S/O
DeepGreenX (Direct Listing – NASDAQ),DXG,Kingswood (Financial Advisor),872.0,0.00,0.00,$ 1600.0 mil,7/28/2025 Week of,S/O,S/O
