Company,Symbol proposed,Lead Managers,Shares (Millions),Price Low,Price High,Est. $ Volume,Expected to Trade,SCOOP Rating,Rating Change
Advasa Holdings (Direct Listing),ADBT,WestPark Capital (Financial Advisor),94.1,10.00,10.00,$ 940.5 mil,8/25/2026 Tuesday,S/O,S/O
BW Industrial Holdings,BWGC,Eddid Securities USA,2.6,6.00,7.00,$ 17.1 mil,8/25/2026 Week of,S/O,S/O
MetaOptics (Uplisting),MOT,Roth Capital Partners/The Benchmark Company,3.0,5.00,7.00,$ 18.0 mil,8/25/2026 Week of,S/O,S/O
Riku Dining Group,RIKU,Eddid Securities USA,5.0,4.00,6.00,$ 25.0 mil,8/25/2026 Week of,S/O,S/O
Web3Labs Global Inc.,MDAT,Eddid Securities USA,6.3,4.00,5.00,$ 28.1 mil,8/25/2026 Week of,S/O,S/O
Southern Cross Acquisition II Corp.,SCATU,D. Boral Capital (ex-EF Hutton),7.5,10.00,10.00,$ 75.0 mil,8/26/2026 Wednesday,S/O,S/O
