Company,Symbol proposed,Lead Managers,Shares (Millions),Price Low,Price High,Est. $ Volume,Expected to Trade,SCOOP Rating,Rating Change
Berto Acquisition Corp. II,GUACU,Needham & Co.,27.4,10.00,10.00,$ 274.0 mil,5/15/2026 Priced,S/O,S/O
Duke Robotics Corp. (Uplisting/Units),DUKR,Maxim Group,1.1,8.20,8.20,$ 9.3 mil,5/15/2026 Priced,S/O,S/O
Energy Transition Special Opportunities,ETSS,Cohen & Company Capital Markets,15.0,10.00,10.00,$ 150.0 mil,5/15/2026 Priced,S/O,S/O
Exyn Technologies (Unit IPO),EXYN,Lucid Capital Markets,2.5,7.75,7.75,$ 19.4 mil,5/15/2026 Priced,S/O,S/O
Iron Dome Acquisition I Corp.,IDACU,Santander,15.0,10.00,10.00,$ 150.0 mil,5/15/2026 Priced,S/O,S/O
Patriot Acquisition Corp./CI,PATR,"Keefe, Bruyette & Woods (A Stifel Company)",16.0,10.00,10.00,$ 160.0 mil,5/15/2026 Priced,S/O,S/O
BW Industrial Holdings,BWGC,Eddid Securities USA,2.6,6.00,7.00,$ 17.1 mil,5/18/2026 Week of,S/O,S/O
Encore Medical Inc.,EMI,The Oak Ridge Financial Services Group,3.0,5.00,5.00,$ 15.0 mil,5/18/2026 Week of,S/O,S/O
Optimi Health (Uplisting),OPTH,Joseph Gunnar & Co.,2.5,6.00,8.00,$ 17.5 mil,5/18/2026 Week of,S/O,S/O
Riku Dining Group,RIKU,Eddid Securities USA,5.0,4.00,6.00,$ 25.0 mil,5/18/2026 Week of,S/O,S/O
Lincoln International,LCLN,Goldman Sachs/Morgan Stanley/BMO Capital Markets/Citizens Capital Markets/Evercore ISI,21.1,18.00,20.00,$ 400.0 mil,5/20/2026 Wednesday,S/O,S/O
Lannister Mining Corp.,DRIL,Joseph Gunnar & Co.,2.0,5.00,5.00,$ 10.0 mil,5/21/2026 Thursday,S/O,S/O
