Company,Symbol proposed,Lead Managers,Shares (Millions),Price Low,Price High,Est. $ Volume,Expected to Trade,SCOOP Rating,Rating Change
Columbus Circle Capital Corp. III,CCCTU,Cohen & Company Capital Markets/Clear Street,20.0,10.00,10.00,$ 200.0 mil,7/9/2026 Priced,S/O,S/O
Mercator Acquisition Corp.,MRCOU,Clear Street,15.0,10.00,10.00,$ 150.0 mil,7/9/2026 Priced,S/O,S/O
SK hynix (NASDAQ Uplisting),SKHY,BofA Securities/Citigroup/Goldman Sachs/J.P. Morgan/Cantor/Mizuho Securities/ Needham & Company/RBC Capital Markets/Rosenblatt/Stifel/Wedbush Securities/William Blair/Wolfe/Nomura Alliance,177.9,158.14,158.14,$ 28130.0 mil,7/10/2026 Friday,S/O,S/O
Tarsier Pharma,TARX,Konik Capital Partners (A Division of T.R. Winston),5.0,8.00,10.00,$ 45.0 mil,7/10/2026 Friday,S/O,S/O
Coolbit Technologies Ltd.,CBAI,Eddid Securities USA,5.0,4.00,5.00,$ 22.5 mil,7/13/2026 Week of,S/O,S/O
MetaOptics (Uplisting),MOT,Roth Capital Partners/The Benchmark Company,3.0,5.00,7.00,$ 18.0 mil,7/13/2026 Week of,S/O,S/O
Riku Dining Group,RIKU,Eddid Securities USA,5.0,4.00,6.00,$ 25.0 mil,7/13/2026 Week of,S/O,S/O
"Csquare, Inc.",CSQR,Morgan Stanley/TD Securities/Wells Fargo Securities/BofA Securities/BMO Capital Markets/Scotiabank/Jefferies/J.P.Morgan/RBC Capital Markets/Societe Generale,50.0,23.00,27.00,$ 1250.0 mil,7/16/2026 Thursday,S/O,S/O
"Standard Nuclear, Inc.",STDN,BofA Securities/Goldman Sachs/Barclays/UBS Investment Bank/Evercore ISI/RBC Capital Markets/ William Blair/Stifel,18.3,18.00,21.00,$ 355.9 mil,7/16/2026 Thursday,S/O,S/O
