Company,Symbol proposed,Lead Managers,Shares (Millions),Price Low,Price High,Est. $ Volume,Expected to Trade,SCOOP Rating,Rating Change
Republic Power Group Ltd. (Revived),RPGL,Bancroft Capital,2.1,4.00,4.00,$ 8.5 mil,10/14/2025 Priced,S/O,S/O
TechCreate Group,TCGL,Cathay Securities/ Revere Securities,2.6,4.00,5.00,$ 11.5 mil,10/15/2025 Wednesday,S/O,S/O
Aptera Motors (Direct Listing),SEV,Northland Securities,31.7,0.00,0.00,$ 0.0 mil,10/16/2025 Thursday,S/O,S/O
OBOOK Holdings (Direct Listing),OWLS,D. Boral Capital (ex-EF Hutton) (Financial Adviser),4.7,0.00,0.00,$ 0.0 mil,10/16/2025 Thursday,S/O,S/O
Agencia Comercial Spirits,AGCC,D. Boral Capital (ex-EF Hutton)/Revere Securities,1.8,4.00,6.00,$ 9.0 mil,10/17/2025 Friday,S/O,S/O
"HW Electro Co., Ltd. (NASDAQ-New Filing)",HWEP,American Trust Investment Services/WestPark Capital,4.2,4.00,4.00,$ 16.6 mil,10/17/2025 Week of,S/O,S/O
Bgin Blockchain Ltd.,BGIN,D. Boral Capital (ex-EF Hutton),6.0,5.00,7.00,$ 36.0 mil,10/21/2025 Tuesday,S/O,S/O
Miluna Acquisition,MMTX,D. Boral Capital (ex-EF Hutton)/ ARC Group Securities,6.0,10.00,10.00,$ 60.0 mil,10/21/2025 Tuesday,S/O,S/O
Harvard Avenue Acquisition Corp.,HAVAU,D. Boral Capital (ex-EF Hutton),18.0,10.00,10.00,$ 180.0 mil,10/22/2025 Wednesday,S/O,S/O
Texxon Holding (New Filing),NPT,D. Boral Capital (ex-EF Hutton),2.0,4.00,5.00,$ 9.0 mil,10/22/2025 Wednesday,S/O,S/O
ELC Group Holdings Ltd.,ELCG,D. Boral Capital (ex-EF Hutton),1.9,4.00,6.00,$ 9.4 mil,10/23/2025 Thursday,S/O,S/O
Monkey Tree Investment Ltd.,MKTR,Revere Securities,1.6,4.00,5.00,$ 7.0 mil,10/24/2025 Week of,S/O,S/O
Anew Health Ltd.,AVG,D. Boral Capital (ex-EF Hutton),1.8,4.00,6.00,$ 9.0 mil,10/27/2025 Week of,S/O,S/O
Libera Gaming Operations,LBRJ,D. Boral Capital (ex-EF Hutton)/Craft Capital Management/ Boustead Securities,1.3,4.00,4.00,$ 5.0 mil,10/27/2025 Week of,S/O,S/O
"MapLight Therapeutics, Inc.",MPLT,Morgan Stanley/Jefferies/Leerink/Stifel,14.8,17.00,17.00,$ 250.8 mil,10/28/2025 Tuesday,S/O,S/O
