Company,Symbol proposed,Lead Managers,Shares (Millions),Price Low,Price High,Est. $ Volume,Expected to Trade,SCOOP Rating,Rating Change
Electra Therapeutics,ETRA,Jefferies/TD Cowen/Evercore ISI/Cantor,23.3,15.00,15.00,$ 350.0 mil,9/18/2026 Priced,S/O,S/O
Leader’s Advantage Acquisition Corp.,LEDRU,Clear Street/D. Boral Capital,15.0,10.00,10.00,$ 150.0 mil,9/18/2026 Priced,S/O,S/O
Orion180 Insurance Group,OIG,RBC Capital Markets/UBS Investment Bank/Raymond James/Goldman Sachs/Deutsche Bank Securities/Citizens Capital Markets/Texas Capital Securities,20.0,12.00,12.00,$ 240.0 mil,9/18/2026 Priced,S/O,S/O
Amaero (Cross-Listing),AMRO,Stifel/Baird,7.5,7.06,7.06,$ 52.7 mil,9/23/2026 Wednesday,S/O,S/O
Bamboo Insurance Services,BMB,J.P.Morgan/Morgan Stanley/Deutsche Bank Securities/Evercore ISI/Wells Fargo Securities,35.0,18.00,20.00,$ 665.0 mil,9/23/2026 Wednesday,S/O,S/O
BW Industrial Holdings,BWGC,Eddid Securities USA,2.6,6.00,7.00,$ 17.1 mil,9/24/2026 Week of,S/O,S/O
Web3Labs Global Inc.,MDAT,Eddid Securities USA,6.3,4.00,5.00,$ 28.1 mil,9/24/2026 Week of,S/O,S/O
Encore Medical Inc.,EMI,The Oak Ridge Financial Services Group,3.0,5.00,5.00,$ 15.0 mil,9/30/2026 Wednesday,S/O,S/O
