Company,Symbol proposed,Lead Managers,Shares (Millions),Price Low,Price High,Est. $ Volume,Expected to Trade,SCOOP Rating,Rating Change
Londian Wason New Energy Tech,FOIL,Cantor/Huatai Securities/CMB International/US Tiger Securities/Fortune (HK) Securities/VC Brokerage,4.3,22.00,22.00,$ 94.3 mil,8/12/2026 Priced,S/O,S/O
SunScout Holding Ltd.,SNSC,Dominari Securities/Revere Securities,3.1,5.00,5.00,$ 15.5 mil,8/12/2026 Priced,S/O,S/O
Vogenx,VOGX,Jones,6.3,13.00,13.00,$ 81.3 mil,8/12/2026 Priced,S/O,S/O
Robinhood Ventures Fund II (Closed End),RVII,Goldman Sachs/Citigroup/J.P. Morgan/UBS/Wells Fargo Securities,8.0,25.00,25.00,$ 200.0 mil,8/13/2026 Thursday,S/O,S/O
BW Industrial Holdings,BWGC,Eddid Securities USA,2.6,6.00,7.00,$ 17.1 mil,8/14/2026 Week of,S/O,S/O
MetaOptics (Uplisting),MOT,Roth Capital Partners/The Benchmark Company,3.0,5.00,7.00,$ 18.0 mil,8/14/2026 Week of,S/O,S/O
Riku Dining Group,RIKU,Eddid Securities USA,5.0,4.00,6.00,$ 25.0 mil,8/14/2026 Week of,S/O,S/O
Web3Labs Global Inc.,MDAT,Eddid Securities USA,6.3,4.00,5.00,$ 28.1 mil,8/14/2026 Week of,S/O,S/O
Southern Cross Acquisition II Corp.,SCATU,D. Boral Capital (ex-EF Hutton),10.0,10.00,10.00,$ 100.0 mil,8/17/2026 Week of,S/O,S/O
Lyntris,LYNX,Evercore ISI/Citigroup/Guggenheim Securities/BofA Securities/Baird/Raymond James/William Blair,24.0,19.00,22.00,$ 492.0 mil,8/19/2026 Wednesday,S/O,S/O
