Company,Symbol proposed,Lead Managers,Shares (Millions),Price Low,Price High,Est. $ Volume,Expected to Trade,SCOOP Rating,Rating Change
C4 Natural Solutions,MTNE,Santander,20.0,10.00,10.00,$ 200.0 mil,5/1/2026 Priced,S/O,S/O
"Hemab Therapeutics Holdings, Inc.",COAG,Goldman Sachs/Jefferies/Evercore ISI,16.8,18.00,18.00,$ 301.5 mil,5/1/2026 Priced,S/O,S/O
Quantum Leap Acquisition Corp.,QLEPU,A.G.P. (Alliance Global Partners),20.0,10.00,10.00,$ 200.0 mil,5/1/2026 Priced,S/O,S/O
Seaport Therapeutics,SPTX,Goldman Sachs/J.P.Morgan/Leerink Partners/Citigroup/Stifel,14.2,18.00,18.00,$ 254.9 mil,5/1/2026 Priced,S/O,S/O
Optimi Health (Uplisting),OPTH,Joseph Gunnar & Co.,2.5,6.00,8.00,$ 17.5 mil,5/4/2026 Week of,S/O,S/O
Rare Earths Americas,REA,Cantor/Stifel,2.8,17.00,19.00,$ 50.0 mil,5/4/2026 Week of,S/O,S/O
Vernal Capital Acquisition Corp.,VECAU,D. Boral Capital (ex-EF Hutton),10.0,10.00,10.00,$ 100.0 mil,5/6/2026 Wednesday,S/O,S/O
"HawkEye 360, Inc.",HAWK,Goldman Sachs/Morgan Stanley/RBC Capital Markets/Jefferies/BofA Securities/Baird/Raymond James/William Blair,16.0,24.00,26.00,$ 400.0 mil,5/7/2026 Thursday,S/O,S/O
"Suja Life, Inc.",SUJA,Goldman Sachs/Jefferies/William Blair/BofA Securities/Evercore ISI,8.9,21.00,24.00,$ 200.0 mil,5/7/2026 Thursday,S/O,S/O
Encore Medical Inc.,EMI,The Oak Ridge Financial Services Group,3.0,5.00,5.00,$ 15.0 mil,5/11/2026 Week of,S/O,S/O
BW Industrial Holdings,BWGC,Eddid Securities USA,2.6,6.00,7.00,$ 17.1 mil,5/13/2026 Week of,S/O,S/O
Riku Dining Group,RIKU,Eddid Securities USA,5.0,4.00,6.00,$ 25.0 mil,5/13/2026 Week of,S/O,S/O
