Company,Symbol proposed,Lead Managers,Shares (Millions),Price Low,Price High,Est. $ Volume,Expected to Trade,SCOOP Rating,Rating Change
BlossomHill Therapeutics,BLSM,J.P.Morgan/Leerink Partners/Guggenheim Securities/LifeSci Capital/H.C. Wainwright,9.4,16.00,16.00,$ 150.0 mil,8/7/2026 Priced,S/O,S/O
Latigo Biotherapeutics,LTGO,Goldman Sachs/Jefferies/Leerink Partners/Guggenheim Securities,19.2,18.00,18.00,$ 345.6 mil,8/7/2026 Priced,S/O,S/O
OceanLight Acquisition,OCLT,Polaris (A Division of Kingswood),10.0,10.00,10.00,$ 100.0 mil,8/7/2026 Priced,S/O,S/O
Pinnacle Acquisition Corp.,PINC.U,Santander/CIBC World Markets,20.0,10.00,10.00,$ 200.0 mil,8/7/2026 Priced,S/O,S/O
Ticketplus,TP,Roth Capital/Bancroft Capital/MDB Capital Group,1.9,8.00,8.00,$ 15.0 mil,8/7/2026 Priced,S/O,S/O
Web3Labs Global Inc.,MDAT,Eddid Securities USA,6.3,4.00,5.00,$ 28.1 mil,8/7/2026 Week of,S/O,S/O
BW Industrial Holdings,BWGC,Eddid Securities USA,2.6,6.00,7.00,$ 17.1 mil,8/10/2026 Week of,S/O,S/O
MetaOptics (Uplisting),MOT,Roth Capital Partners/The Benchmark Company,3.0,5.00,7.00,$ 18.0 mil,8/10/2026 Week of,S/O,S/O
Riku Dining Group,RIKU,Eddid Securities USA,5.0,4.00,6.00,$ 25.0 mil,8/10/2026 Week of,S/O,S/O
Londian Wason New Energy Tech,FOIL,Cantor/Huatai Securities/CMB International/US Tiger Securities/Fortune (HK) Securities,3.6,20.00,22.00,$ 75.0 mil,8/12/2026 Wednesday,S/O,S/O
