Company,Symbol proposed,Lead Managers,Shares (Millions),Price Low,Price High,Est. $ Volume,Expected to Trade,SCOOP Rating,Rating Change
Apnimed,APMD,BofA Securities/Evercore ISI/Cantor/LifeSci Capital,12.0,16.00,16.00,$ 192.0 mil,7/31/2026 Priced,S/O,S/O
Churchill Capital XIII,XIIIU,Citigroup,36.0,10.00,10.00,$ 360.0 mil,7/31/2026 Priced,S/O,S/O
East West Ave Acquisition Corp.,EWAVU,D. Boral Capital,10.0,10.00,10.00,$ 100.0 mil,7/31/2026 Priced,S/O,S/O
BOA Acquisition Corp. II,THEOU,D. Boral Capital (ex-EF Hutton),12.5,10.00,10.00,$ 125.0 mil,8/4/2026 Tuesday,S/O,S/O
Attovia Therapeutics,ATTO,Morgan Stanley/Leerink Partners/Citigroup/RBC Capital Markets/LifeSci Capital,12.5,15.00,17.00,$ 200.0 mil,8/5/2026 Wednesday,S/O,S/O
Braveheart Bio,BRVE,Goldman Sachs/Jefferies/TD Cowen/Stifel/Cantor,18.8,15.00,17.00,$ 300.0 mil,8/6/2026 Thursday,S/O,S/O
Vogenx,VOGX,JonesTrading,6.3,11.00,13.00,$ 75.0 mil,8/6/2026 Thursday,S/O,S/O
Web3Labs Global Inc.,MDAT,Eddid Securities USA,6.3,4.00,5.00,$ 28.1 mil,8/7/2026 Week of,S/O,S/O
BW Industrial Holdings,BWGC,Eddid Securities USA,2.6,6.00,7.00,$ 17.1 mil,8/10/2026 Week of,S/O,S/O
MetaOptics (Uplisting),MOT,Roth Capital Partners/The Benchmark Company,3.0,5.00,7.00,$ 18.0 mil,8/10/2026 Week of,S/O,S/O
Riku Dining Group,RIKU,Eddid Securities USA,5.0,4.00,6.00,$ 25.0 mil,8/10/2026 Week of,S/O,S/O
