Company,Symbol proposed,Lead Managers,Shares (Millions),Price Low,Price High,Est. $ Volume,Expected to Trade,SCOOP Rating,Rating Change
BW Industrial Holdings,BWGC,Eddid Securities USA,2.6,6.00,7.00,$ 17.1 mil,4/6/2026 Week of,S/O,S/O
"Hartford Creative Group, Inc. (Uplisting)",HFUS,WestPark Capital,1.5,4.00,4.00,$ 6.0 mil,4/6/2026 Week of,S/O,S/O
Hillhouse Frontier Holdings,HIFI,Cathay Securities,3.8,4.00,6.00,$ 18.8 mil,4/6/2026 Week of,S/O,S/O
Optimi Health Ltd. (Uplisting),OPTH,Joseph Gunnar & Co.,2.5,6.00,8.00,$ 17.5 mil,4/6/2026 Week of,S/O,S/O
TV Channels Network (Re-Filed),TVCN,Craft Capital Management,3.8,4.00,4.00,$ 15.0 mil,4/6/2026 Week of,S/O,S/O
Metals Royalty Co. (The)(NASDAQ Direct Listing),TMCR,Stifel (Financial Advisor),55.1,5.00,5.00,$ 275.5 mil,4/8/2026 Week of,S/O,S/O
"Seahawk Recycling Holdings, Inc.",SEAH,Cathay Securities,3.8,4.00,6.00,$ 18.8 mil,4/13/2026 Week of,S/O,S/O
Encore Medical Inc.,EMI,The Oak Ridge Financial Services Group/Dawson James Securities,3.0,5.00,5.00,$ 15.0 mil,4/15/2026 Wednesday,S/O,S/O
Madison Air Solutions,MAIR,Goldman Sachs/Barclays/Jefferies/Wells Fargo Securities/BofA Securities/Citigroup/Baird/RBC Capital Markets/Guggenheim Securities/Santander/Wolfe | Nomura Alliance/CIBC Capital Markets,82.7,25.00,27.00,$ 2150.0 mil,4/16/2026 Thursday,S/O,S/O
Riku Dining Group,RIKU,Eddid Securities USA,5.0,4.00,6.00,$ 25.0 mil,4/20/2026 Week of,S/O,S/O
