Company,Symbol proposed,Lead Managers,Shares (Millions),Price Low,Price High,Est. $ Volume,Expected to Trade,SCOOP Rating,Rating Change
"Black Rock Coffee Bar, Inc.",BRCB,JPMorgan/Jefferies/Morgan Stanley/Baird/Stifel/William Blair/Raymond James,14.7,20.00,20.00,$ 294.1 mil,9/12/2025 Priced,S/O,S/O
"Gemini Space Station, Inc.",GEMI,"Goldman Sachs/Citigroup/Morgan Stanley/Cantor/Evercore ISI/Mizuho/Truist Securities/Cohen & Company Capital Markets/Keefe, Bruyette & Woods (A Stifel Company)/Needham & Co./Rosenblatt",15.2,28.00,28.00,$ 425.6 mil,9/12/2025 Priced,S/O,S/O
"Hang Feng Technology Innovation Co., Ltd.",FOFO,Kingswood Capital Partners,1.4,4.00,4.00,$ 5.5 mil,9/12/2025 Priced,S/O,S/O
Legence Corp.,LGN,Goldman Sachs/Jefferies/BofA Securities/Barclays/Morgan Stanley/RBC Capital Markets/Societe Generale/BMO Capital Markets/Cantor Fitzgerald/Guggenheim Securities/WR Securities/Nomura Securities/ MUFG Securities America/Roth Capital/Santander/Stifel/TD Cowen/BTIG Securities/Rothschild,26.0,28.00,28.00,$ 728.0 mil,9/12/2025 Priced,S/O,S/O
OTG Acquisition Corp. I,OTGAU,B. Riley Securiites/Northland Capital Markets/Lake Street Securities,20.0,10.00,10.00,$ 200.0 mil,9/12/2025 Priced,S/O,S/O
"Via Transportation, Inc.",VIA,Goldman Sachs/Morgan Stanley/Allen & Company/Wells Fargo Securities/Deutsche Bank Securities/Guggenheim Securities,10.7,46.00,46.00,$ 492.7 mil,9/12/2025 Priced,S/O,S/O
Agencia Comercial Spirits,AGCC,Revere Securities,1.8,4.00,6.00,$ 9.0 mil,9/15/2025 Week of,S/O,S/O
Texxon Holding,NPT,D. Boral Capital (ex-EF Hutton),2.0,4.00,5.00,$ 9.0 mil,9/15/2025 Week of,S/O,S/O
Rise Smart Group Holdings Ltd.,RSHL,American Trust Investment Services/Prime Number Capital,1.8,4.00,4.00,$ 7.2 mil,9/16/2025 Tuesday,S/O,S/O
DT House Ltd.,DTDT,American Trust Investment Services/Revere Securities,2.0,4.00,5.00,$ 9.0 mil,9/17/2025 Wednesday,S/O,S/O
StubHub Holdings,STUB,J.P.Morgan/Goldman Sachs/BofA Securities/Evercore ISI/BMO Capital Markets/Mizuho/TD Cowen/Truist Securities/Wolfe Nomura Alliance,34.0,22.00,25.00,$ 799.9 mil,9/17/2025 Wednesday,S/O,S/O
WaterBridge Infrastructure LLC,WBI,J.P.Morgan/Barclays/Goldman Sachs/Morgan Stanley/Wells Fargo Securities/Piper Sandler/Raymond James/Stifel,27.0,17.00,20.00,$ 499.5 mil,9/17/2025 Wednesday,S/O,S/O
"Netskope, Inc.",NTSK,Morgan Stanley/J.P.Morgan/BMO Capital Markets/TD Cowen/Citizens Capital/Mizuho/Wells Fargo Securities/Deutsche Bank Securities,47.8,15.00,17.00,$ 764.8 mil,9/18/2025 Thursday,S/O,S/O
"Regentis Biomaterials, Ltd.",RGNT,ThinkEquity,1.0,10.00,12.00,$ 11.0 mil,9/18/2025 Thursday,S/O,S/O
Megan Holdings Ltd.,MGN,D. Boral Capital (ex-EF Hutton),2.5,4.00,6.00,$ 12.5 mil,9/19/2025 Friday,S/O,S/O
Pattern Group Inc.,PTRN,Goldman Sachs/J.P.Morgan/Evercore ISI/Jefferies/Baird/BMO Capital Markets/KeyBanc Capital Markets/Needham & Co./ Stifel/William Blair,21.4,13.00,15.00,$ 300.0 mil,9/19/2025 Friday,S/O,S/O
ELC Group Holdings Ltd.,ELCG,D. Boral Capital (ex-EF Hutton),1.8,4.00,6.00,$ 9.0 mil,9/22/2025 Week of,S/O,S/O
"HW Electro Co., Ltd. (NASDAQ-New Filing)",HWEP,American Trust Investment Services/WestPark Capital,4.2,4.00,4.00,$ 16.6 mil,9/24/2025 Wednesday,S/O,S/O
