Company,Symbol proposed,Lead Managers,Shares (Millions),Price Low,Price High,Est. $ Volume,Expected to Trade,SCOOP Rating,Rating Change
Pono Capital Four,PONOU,D. Boral Capital (ex-EF Hutton),12.0,10.00,10.00,$ 120.0 mil,3/13/2026 Priced,S/O,S/O
BW Industrial Holdings,BWGC,Eddid Securities USA,2.6,7.00,9.00,$ 21.0 mil,3/16/2026 Week of,S/O,S/O
DT House Ltd.,DTDT,American Trust Investment Services,5.0,5.00,5.50,$ 26.3 mil,3/16/2026 Week of,S/O,S/O
"Hartford Creative Group, Inc. (Uplisting)",HFUS,WestPark Capital,1.5,4.00,4.00,$ 6.0 mil,3/16/2026 Week of,S/O,S/O
Hillhouse Frontier Holdings,HIFI,Cathay Securities,3.8,4.00,6.00,$ 18.8 mil,3/16/2026 Week of,S/O,S/O
"HW Electro Co., Ltd. (NASDAQ-New Filing)",HWEP,American Trust Investment Services/WestPark Capital,4.2,4.00,4.00,$ 16.6 mil,3/16/2026 Week of,S/O,S/O
Metals Royalty Co. (Direct Listing),TMCR,Stifel (Financial Advisor),55.1,5.00,5.00,$ 275.5 mil,3/16/2026 Week of,S/O,S/O
Riku Dining Group,RIKU,Eddid Securities USA,2.3,4.00,6.00,$ 11.3 mil,3/16/2026 Week of,S/O,S/O
"Salspera,  Inc.",TKVA,Kingswood Capital Markets,5.7,14.00,16.00,$ 85.0 mil,3/16/2026 Week of,S/O,S/O
"Seahawk Recycling Holdings, Inc.",SEAH,Cathay Securities,3.8,4.00,6.00,$ 18.8 mil,3/16/2026 Week of,S/O,S/O
"Swarmer, Inc.",SWMR,Lucid Capital Markets,3.0,4.00,6.00,$ 15.0 mil,3/16/2026 Week of,S/O,S/O
Guident,GUID,Dominari Securities/Revere Securities,3.3,4.00,5.00,$ 15.0 mil,3/23/2026 Week of,S/O,S/O
PressLogic,PLAI,American Trust Investment Services,1.8,4.00,6.00,$ 9.0 mil,3/23/2026 Week of,S/O,S/O
