Company,Symbol proposed,Lead Managers,Shares (Millions),Price Low,Price High,Est. $ Volume,Expected to Trade,SCOOP Rating,Rating Change
Attovia Therapeutics,ATTO,Morgan Stanley/Leerink Partners/Citigroup/RBC Capital Markets/LifeSci Capital,17.0,17.00,17.00,$ 289.0 mil,8/5/2026 Priced,S/O,S/O
TCGX Acquisition (Stock-Only),TCGX,Jefferies,7.5,10.00,10.00,$ 75.0 mil,8/5/2026 Priced,S/O,S/O
Braveheart Bio,BRVE,Goldman Sachs/Jefferies/TD Cowen/Stifel/Cantor,18.8,15.00,17.00,$ 300.0 mil,8/6/2026 Thursday,S/O,S/O
Vogenx,VOGX,Jones,6.3,11.00,13.00,$ 75.0 mil,8/6/2026 Thursday,S/O,S/O
BlossomHill Therapeutics,BLSM,J.P.Morgan/Leerink Partners/Guggenheim Securities/LifeSci Capital/H.C. Wainwright,7.8,15.00,17.00,$ 125.0 mil,8/7/2026 Friday,S/O,S/O
Latigo Biotherapeutics,LTGO,Goldman Sachs/Jefferies/Leerink Partners/Guggenheim Securities,16.0,16.00,18.00,$ 272.0 mil,8/7/2026 Friday,S/O,S/O
Web3Labs Global Inc.,MDAT,Eddid Securities USA,6.3,4.00,5.00,$ 28.1 mil,8/7/2026 Week of,S/O,S/O
BW Industrial Holdings,BWGC,Eddid Securities USA,2.6,6.00,7.00,$ 17.1 mil,8/10/2026 Week of,S/O,S/O
MetaOptics (Uplisting),MOT,Roth Capital Partners/The Benchmark Company,3.0,5.00,7.00,$ 18.0 mil,8/10/2026 Week of,S/O,S/O
Riku Dining Group,RIKU,Eddid Securities USA,5.0,4.00,6.00,$ 25.0 mil,8/10/2026 Week of,S/O,S/O
Londian Wason New Energy Tech,FOIL,Cantor/Huatai Securities/CMB International/US Tiger Securities/Fortune (HK) Securities,3.6,20.00,22.00,$ 75.0 mil,8/12/2026 Wednesday,S/O,S/O
